OTU_ID,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Confidence Ranking,Growth Morphology,Trait,Notes,Citation/Source
otu101,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu102,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu103,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu104,Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius,Cortinarius,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Agaricoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu106,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu107,Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Sphaerosporella,Sphaerosporella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu109,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina,Sebacina,13,Symbiotroph,Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph,Possible,NULL,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (pro parte); http://mycorrhizas.info/ecmf.html; Weiss et al. doi: 10.1111/nph.13977 (many guilds)"
otu11,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu112,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
otu113,Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Tarzetta,Tarzetta,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Pezizoid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263"
otu115,Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Amphinema,Amphinema,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Corticioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu116,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora,Thelephora,13,Symbiotroph,Ectomycorrhizal,Highly Probable,Clavarioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45; Tedersoo L, et al. 2010. Mycorrhiza 20:217-263; http://mycorrhizas.info/ecmf.html"
otu119,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu12,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe,Inocybaceae,9,Symbiotroph,Ectomycorrhizal,Probable,Agaricoid,NULL,"Sensu stricto with the exclusion of Crepidotaceae, Tubariaceae, and Chromocyphellaceae; Pharmacology: muscarine, psilocybin, aeruginascen, unclarified alkaloids, or none",Matheny PB. 2009. McIlvainea 18:11-21
otu121,Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium,Eurotiales,7,Saprotroph,Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158"
otu122,Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron,Oidiodendron,13,Pathotroph-Symbiotroph,Ericoid Mycorrhizal,Probable,Dark Septate Endophyte,NULL,NULL,Newsham 2011. New Phytologist 190:783-793 (as DSE)
